node_id,x_coord,y_coord
1,-111.9176573,33.3340915
2,-111.9180435,33.3278453
3,-111.9181293,33.3283975
4,-111.9370903,33.3247312
5,-111.9419776,33.406618
6,-111.9396516,33.3346409
7,-111.9652898,33.4231118
8,-111.9393266,33.3362643
9,-111.9386313,33.3370316
10,-111.9383052,33.3379781
11,-111.9383138,33.3384442
12,-111.9405778,33.3832706
13,-111.9530106,33.4219181
14,-111.9406278,33.3807355
15,-111.9412608,33.4219305
16,-111.943057,33.4296693
17,-111.9412375,33.4190521
18,-111.94123,33.4176195
19,-111.8958182,33.3866492
20,-111.941205,33.416204
21,-111.9411894,33.4147443
22,-111.8987373,33.4257009
23,-111.8970292,33.4256972
24,-111.8953229,33.4256944
25,-111.9387421,33.33164
26,-111.8935719,33.4256916
27,-111.8919045,33.4256889
28,-111.938391,33.3368595
29,-111.890235,33.4257007
30,-111.9390262,33.3637033
31,-111.9373125,33.3992353
32,-111.9385127,33.3652275
33,-111.9296308,33.3973721
34,-111.9171232,33.4136285
35,-111.9287897,33.3963761
36,-111.8960702,33.3812403
37,-111.9389855,33.3668305
38,-111.8962446,33.399874
39,-111.9407739,33.4000976
40,-111.9107726,33.4135536
41,-111.9366724,33.4254992
42,-111.9405507,33.4010434
43,-111.8920134,33.3998648
44,-111.9349278,33.4254396
45,-111.940585,33.4020179
46,-111.8902111,33.3998402
47,-111.8888122,33.3998398
48,-111.8860227,33.399847
49,-111.9030303,33.3991206
50,-111.9241918,33.3929579
51,-111.9014682,33.3994789
52,-111.9005276,33.3995802
53,-111.8973483,33.3995864
54,-111.9253399,33.395
55,-111.9325932,33.4511439
56,-111.9361462,33.4531785
57,-111.9382139,33.399314
58,-111.9203585,33.3993602
59,-111.9456628,33.3346084
60,-111.9179541,33.440316
61,-111.9179527,33.4440219
62,-111.9179419,33.4458689
63,-111.9179494,33.4465803
64,-111.9457642,33.4146384
65,-111.9472669,33.414644
66,-111.9314392,33.3593563
67,-111.9478717,33.414646
68,-111.9179531,33.4480075
69,-111.9473406,33.4308199
70,-111.9483752,33.4142693
71,-111.9018787,33.3596791
72,-111.9521874,33.4146526
73,-111.9004637,33.3596859
74,-111.9560514,33.4146679
75,-111.9564981,33.414669
76,-111.9569579,33.4146701
77,-111.9587358,33.4146768
78,-111.9263147,33.4422255
79,-111.9062535,33.360106
80,-111.9594046,33.4146794
81,-111.9263646,33.4440007
82,-111.9263737,33.4466592
83,-111.9602023,33.4146826
84,-111.9608279,33.4146777
85,-111.9263889,33.4490137
86,-111.9263889,33.451236
87,-111.9162405,33.3693229
88,-111.91597,33.3686431
89,-111.9324477,33.3929047
90,-111.9315426,33.392911
91,-111.9220538,33.3929578
92,-111.9180597,33.3543257
93,-111.905253,33.3600764
94,-111.9210721,33.3929572
95,-111.9041373,33.3599942
96,-111.9177482,33.3929647
97,-111.8934773,33.334801
98,-111.9011531,33.3347516
99,-111.9029126,33.3347373
100,-111.9113718,33.392971
101,-111.9040965,33.3347217
102,-111.9068993,33.3929551
103,-111.9312568,33.4084598
104,-111.907865,33.3346727
105,-111.9064732,33.39296
106,-111.9311382,33.4075231
107,-111.9038621,33.3929619
108,-111.9310728,33.4066298
109,-111.9154943,33.3346795
110,-111.9310814,33.4058345
111,-111.9028665,33.3929619
112,-111.9310814,33.4050391
113,-111.9310814,33.4042438
114,-111.9018794,33.3929547
115,-111.9005405,33.3929619
116,-111.9310814,33.403427
117,-111.926185,33.3346643
118,-111.8988668,33.3929619
119,-111.9192451,33.334701
120,-111.8962489,33.3929619
121,-111.8946351,33.3621443
122,-111.9305625,33.3346375
123,-111.9263852,33.4487609
124,-111.9333612,33.3346438
125,-111.9250111,33.448751
126,-111.9370427,33.3346375
127,-111.9241849,33.4487597
128,-111.9390168,33.3346303
129,-111.8876852,33.3930036
130,-111.977912,33.4266751
131,-111.9550923,33.3542111
132,-111.8864367,33.3930098
133,-111.9222254,33.4487546
134,-111.9781227,33.4168941
135,-111.8854067,33.3930226
136,-111.9210702,33.4440379
137,-111.8843506,33.3930199
138,-111.9210672,33.4444233
139,-111.8853961,33.3960706
140,-111.934602,33.4478368
141,-111.9398422,33.4086532
142,-111.8842975,33.3962713
143,-111.9321282,33.4489665
144,-111.9330519,33.3947696
145,-111.9381791,33.4085985
146,-111.9363685,33.3957383
147,-111.9318719,33.3977637
148,-111.9349142,33.3976146
149,-111.9343936,33.396966
150,-111.9015519,33.3954711
151,-111.9348718,33.3928877
152,-111.9344404,33.396193
153,-111.8945171,33.3575819
154,-111.9698469,33.3817493
155,-111.9399379,33.4218921
156,-111.9399409,33.4219799
157,-111.9349243,33.3924672
158,-111.8892581,33.4292547
159,-111.8892363,33.4288678
160,-111.937244,33.3959318
161,-111.9618505,33.4074314
162,-111.9349129,33.3991964
163,-111.939382,33.3782279
164,-111.9594945,33.3736599
165,-111.9349161,33.3953822
166,-111.9315706,33.3946634
167,-111.9296394,33.3946777
168,-111.9273649,33.3948354
169,-111.9392879,33.3294369
170,-111.8901855,33.3952107
171,-111.8876878,33.3949241
172,-111.8867307,33.3949558
173,-111.8832933,33.3954615
174,-111.8825465,33.3955189
175,-111.8938961,33.354339
176,-111.9560014,33.3568797
177,-111.9396495,33.3955044
178,-111.9376131,33.3952008
179,-111.934918,33.394993
180,-111.9064604,33.3947072
181,-111.9055229,33.3947074
182,-111.9413155,33.3294864
183,-111.8947597,33.3942918
184,-111.9248627,33.395
185,-111.9199092,33.3945452
186,-111.9191846,33.3945436
187,-111.9387593,33.3296894
188,-111.9378151,33.3297683
189,-111.9197711,33.4367602
190,-111.9189574,33.4376765
191,-111.9197885,33.4390423
192,-111.9666812,33.3345248
193,-111.9395644,33.3867531
194,-111.9416085,33.4383301
195,-111.9370321,33.3328008
196,-111.9297846,33.4388367
197,-111.9608878,33.3880557
198,-111.9446684,33.4307709
199,-111.9452441,33.4307647
200,-111.9556323,33.3614606
201,-111.9451318,33.4305537
202,-111.9108155,33.4116335
